map_name,seed,num_agents,solver,task_frequency,task_num,solved,service_time,makespan,comp_time
warehouse.map,41,30,PIBT,0.2,500,1,24.924,2500,13
warehouse.map,42,30,PIBT,0.2,500,1,23.98,2640,14
warehouse.map,43,30,PIBT,0.2,500,1,24.126,2527,14
warehouse.map,76,30,PIBT,0.2,500,1,24.864,2399,12
warehouse.map,77,30,PIBT,0.2,500,1,24.792,2511,13
warehouse.map,78,30,PIBT,0.2,500,1,24.474,2503,13
warehouse.map,79,30,PIBT,0.2,500,1,23.866,2543,13
warehouse.map,64,30,PIBT,0.2,500,1,24.808,2616,14
warehouse.map,65,30,PIBT,0.2,500,1,24.328,2587,13
warehouse.map,66,30,PIBT,0.2,500,1,25.036,2615,13
warehouse.map,67,30,PIBT,0.2,500,1,24.478,2648,14
warehouse.map,68,30,PIBT,0.2,500,1,25.13,2498,13
warehouse.map,69,30,PIBT,0.2,500,1,24.858,2602,14
warehouse.map,70,30,PIBT,0.2,500,1,25.442,2658,14
warehouse.map,71,30,PIBT,0.2,500,1,23.582,2443,13
warehouse.map,44,30,PIBT,0.2,500,1,24.674,2650,14
warehouse.map,45,30,PIBT,0.2,500,1,24.63,2537,13
warehouse.map,46,30,PIBT,0.2,500,1,24.214,2538,13
warehouse.map,47,30,PIBT,0.2,500,1,24.144,2514,13
warehouse.map,84,30,PIBT,0.2,500,1,25.13,2510,15
warehouse.map,85,30,PIBT,0.2,500,1,24.958,2391,14
warehouse.map,86,30,PIBT,0.2,500,1,24.49,2602,15
warehouse.map,87,30,PIBT,0.2,500,1,25.058,2493,15
warehouse.map,60,30,PIBT,0.2,500,1,24.782,2542,15
warehouse.map,61,30,PIBT,0.2,500,1,24.762,2549,15
warehouse.map,62,30,PIBT,0.2,500,1,25.072,2480,14
warehouse.map,63,30,PIBT,0.2,500,1,25.034,2625,15
warehouse.map,72,30,PIBT,0.2,500,1,24.698,2655,15
warehouse.map,73,30,PIBT,0.2,500,1,25.122,2700,16
warehouse.map,74,30,PIBT,0.2,500,1,25.228,2675,15
warehouse.map,75,30,PIBT,0.2,500,1,25.144,2503,14
warehouse.map,88,30,PIBT,0.2,500,1,24.582,2609,15
warehouse.map,89,30,PIBT,0.2,500,1,25.186,2538,14
warehouse.map,90,30,PIBT,0.2,500,1,24.69,2471,14
warehouse.map,91,30,PIBT,0.2,500,1,24.594,2516,14
warehouse.map,92,30,PIBT,0.2,500,1,24.296,2518,14
warehouse.map,93,30,PIBT,0.2,500,1,24.586,2570,14
warehouse.map,94,30,PIBT,0.2,500,1,24.564,2421,14
warehouse.map,95,30,PIBT,0.2,500,1,24.574,2431,14
warehouse.map,96,30,PIBT,0.2,500,1,24.352,2501,14
warehouse.map,97,30,PIBT,0.2,500,1,24.864,2498,14
warehouse.map,98,30,PIBT,0.2,500,1,24.81,2401,14
warehouse.map,99,30,PIBT,0.2,500,1,24.952,2433,14
warehouse.map,12,40,PIBT,0.2,500,1,23.608,2610,20
warehouse.map,13,40,PIBT,0.2,500,1,23.916,2549,19
warehouse.map,14,40,PIBT,0.2,500,1,23.392,2497,19
warehouse.map,15,40,PIBT,0.2,500,1,23.938,2433,19
warehouse.map,8,40,PIBT,0.2,500,1,24.17,2477,17
warehouse.map,9,40,PIBT,0.2,500,1,24.48,2494,18
warehouse.map,10,40,PIBT,0.2,500,1,23.934,2432,17
warehouse.map,11,40,PIBT,0.2,500,1,23.392,2360,18
warehouse.map,4,40,PIBT,0.2,500,1,24.342,2426,17
warehouse.map,5,40,PIBT,0.2,500,1,24.782,2586,18
warehouse.map,6,40,PIBT,0.2,500,1,23.992,2562,18
warehouse.map,7,40,PIBT,0.2,500,1,24.478,2367,17
warehouse.map,0,40,PIBT,0.2,500,1,23.022,2578,19
warehouse.map,1,40,PIBT,0.2,500,1,24.66,2592,18
warehouse.map,2,40,PIBT,0.2,500,1,24.234,2690,21
warehouse.map,3,40,PIBT,0.2,500,1,23.634,2444,19
warehouse.map,32,40,PIBT,0.2,500,1,24.426,2447,17
warehouse.map,33,40,PIBT,0.2,500,1,23.35,2458,17
warehouse.map,34,40,PIBT,0.2,500,1,24.314,2505,19
warehouse.map,35,40,PIBT,0.2,500,1,24.012,2454,19
warehouse.map,20,40,PIBT,0.2,500,1,24.42,2526,19
warehouse.map,21,40,PIBT,0.2,500,1,24.714,2532,18
warehouse.map,22,40,PIBT,0.2,500,1,23.956,2538,17
warehouse.map,23,40,PIBT,0.2,500,1,23.54,2552,18
warehouse.map,16,40,PIBT,0.2,500,1,24.46,2677,19
warehouse.map,17,40,PIBT,0.2,500,1,25.01,2262,16
warehouse.map,18,40,PIBT,0.2,500,1,23.72,2539,19
warehouse.map,19,40,PIBT,0.2,500,1,23.688,2443,19
warehouse.map,36,40,PIBT,0.2,500,1,24.134,2497,18
warehouse.map,37,40,PIBT,0.2,500,1,24.532,2545,18
warehouse.map,38,40,PIBT,0.2,500,1,24.042,2372,17
warehouse.map,39,40,PIBT,0.2,500,1,23.724,2620,20
warehouse.map,24,40,PIBT,0.2,500,1,23.556,2565,17
warehouse.map,25,40,PIBT,0.2,500,1,24.362,2470,19
warehouse.map,26,40,PIBT,0.2,500,1,23.9,2449,18
warehouse.map,27,40,PIBT,0.2,500,1,24.052,2506,17
warehouse.map,28,40,PIBT,0.2,500,1,24.582,2518,17
warehouse.map,29,40,PIBT,0.2,500,1,23.694,2449,17
warehouse.map,30,40,PIBT,0.2,500,1,23.432,2418,16
warehouse.map,31,40,PIBT,0.2,500,1,24.116,2537,17
warehouse.map,76,40,PIBT,0.2,500,1,24.216,2607,20
warehouse.map,77,40,PIBT,0.2,500,1,23.476,2647,20
warehouse.map,78,40,PIBT,0.2,500,1,24.244,2612,20
warehouse.map,79,40,PIBT,0.2,500,1,23.746,2554,19
warehouse.map,64,40,PIBT,0.2,500,1,23.84,2717,20
warehouse.map,65,40,PIBT,0.2,500,1,23.82,2592,20
warehouse.map,66,40,PIBT,0.2,500,1,23.964,2361,18
warehouse.map,67,40,PIBT,0.2,500,1,23.862,2402,18
warehouse.map,44,40,PIBT,0.2,500,1,24.488,2631,18
warehouse.map,45,40,PIBT,0.2,500,1,23.664,2689,19
warehouse.map,46,40,PIBT,0.2,500,1,24.026,2550,20
warehouse.map,47,40,PIBT,0.2,500,1,24.954,2498,19
warehouse.map,40,40,PIBT,0.2,500,1,23.884,2538,17
warehouse.map,41,40,PIBT,0.2,500,1,24.56,2472,17
warehouse.map,42,40,PIBT,0.2,500,1,24.106,2641,19
warehouse.map,43,40,PIBT,0.2,500,1,22.738,2439,17
warehouse.map,52,40,PIBT,0.2,500,1,24.162,2624,18
warehouse.map,53,40,PIBT,0.2,500,1,24.166,2444,17
warehouse.map,54,40,PIBT,0.2,500,1,22.762,2492,18
warehouse.map,55,40,PIBT,0.2,500,1,24.086,2473,17
warehouse.map,56,40,PIBT,0.2,500,1,23.308,2452,17
warehouse.map,57,40,PIBT,0.2,500,1,24.25,2640,18
warehouse.map,58,40,PIBT,0.2,500,1,24.006,2486,17
warehouse.map,59,40,PIBT,0.2,500,1,24.484,2493,17
warehouse.map,60,40,PIBT,0.2,500,1,24.136,2505,17
warehouse.map,61,40,PIBT,0.2,500,1,24.43,2548,19
warehouse.map,62,40,PIBT,0.2,500,1,23.522,2361,17
warehouse.map,63,40,PIBT,0.2,500,1,24.814,2376,18
warehouse.map,48,40,PIBT,0.2,500,1,24.03,2562,18
warehouse.map,49,40,PIBT,0.2,500,1,24.352,2632,18
warehouse.map,50,40,PIBT,0.2,500,1,24.168,2300,16
warehouse.map,51,40,PIBT,0.2,500,1,23.314,2438,19
warehouse.map,72,40,PIBT,0.2,500,1,24.698,2602,20
warehouse.map,73,40,PIBT,0.2,500,1,24.55,2568,20
warehouse.map,74,40,PIBT,0.2,500,1,24.362,2695,19
warehouse.map,75,40,PIBT,0.2,500,1,24.15,2759,19
warehouse.map,80,40,PIBT,0.2,500,1,24.158,2438,17
warehouse.map,81,40,PIBT,0.2,500,1,24.326,2487,17
warehouse.map,82,40,PIBT,0.2,500,1,24.08,2530,17
warehouse.map,83,40,PIBT,0.2,500,1,23.62,2447,18
warehouse.map,68,40,PIBT,0.2,500,1,23.94,2387,18
warehouse.map,69,40,PIBT,0.2,500,1,23.75,2460,18
warehouse.map,70,40,PIBT,0.2,500,1,24.512,2364,17
warehouse.map,71,40,PIBT,0.2,500,1,24.232,2483,19
warehouse.map,84,40,PIBT,0.2,500,1,24.022,2648,20
warehouse.map,85,40,PIBT,0.2,500,1,23.628,2476,19
warehouse.map,86,40,PIBT,0.2,500,1,24.054,2605,20
warehouse.map,87,40,PIBT,0.2,500,1,23.826,2766,21
warehouse.map,92,40,PIBT,0.2,500,1,24.042,2621,20
warehouse.map,93,40,PIBT,0.2,500,1,24.288,2455,19
warehouse.map,94,40,PIBT,0.2,500,1,23.476,2523,19
warehouse.map,95,40,PIBT,0.2,500,1,23.46,2564,19
warehouse.map,88,40,PIBT,0.2,500,1,24.014,2723,21
warehouse.map,89,40,PIBT,0.2,500,1,23.836,2596,20
warehouse.map,90,40,PIBT,0.2,500,1,24.072,2610,19
